5/1/2020,,,,,,,,,,,
"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop
Turks and Caicos,12,,1,,5,6,,310,26,83,"2,144"
Burundi,11,,1,,4,6,,0.9,0.08,284,24
Montserrat,11,,1,,2,8,1,"2,204",200,36,"7,212"
Greenland,11,,,,11,0,,194,,"1,271","22,389"
Vatican City,11,,,,2,9,,"13,733",,,
Seychelles,11,,,,6,5,,112,,,
Suriname,10,,1,,8,1,,17,2,404,689
MS Zaandam,9,,2,,,7,,,,,
Mauritania,8,,1,,6,1,,2,0.2,"1,032",222
Papua New Guinea,8,,,,,8,,0.9,,604,68
Yemen,7,1,2,,1,4,,0.2,0.07,120,4
Bhutan,7,,,,5,2,,9,,"10,101","13,091"
British Virgin Islands,6,,1,,3,2,,198,33,,
Caribbean Netherlands,6,1,,,,6,,229,,110,"4,195"
St. Barth,6,,,,6,0,,607,,,
Western Sahara,6,,,,5,1,,10,,,
Anguilla,3,,,,3,0,,200,,,
Comoros,1,,,,,1,,1,,,
Saint Pierre Miquelon,1,,,,,1,,173,,,
Total:,"3,398,094","94,550","239,448","5,624","1,080,075","2,078,571","51,355",435.9,30.7,,
